國別地區,中文片名,銷售金額,累計銷售金額
白俄羅斯,波斯語課,845606 ,1394346 
英國,盜夢偵探,502363 ,849605 
泰國,夜遊實驚秀,200936 ,472573 
法國,巴黎星空下,102220 ,210160 
日本,歡樂時光,66693 ,124028 
西班牙,顫抖的慾望 經典數位修復,65155 ,106735 
德國,我的親親小妹,31780 ,59948 
南韓,妓生回憶錄,1770 ,4035 
日本,令人討厭的松子的一生,837898 ,1371353 
西班牙,窗邊上的玫瑰 經典數位修復,42470 ,79655 
美國,哥吉拉大戰金剛,127259859 ,278025892 
美國,游牧人生,2819298 ,9054719 
中華民國,愛.殺,263643 ,1104729 
義大利,西西里恐怖故事,132199 ,1391498 
日本,鳴鳥不飛：Don’t stay gold,92880 ,662830 
中華民國,動保蝙蝠俠,84930 ,219190 
中華民國,削瘦的靈魂,72800 ,344599 
日本,前田建設奇幻營業部,70690 ,751554 
德國,父愁者聯盟,58725 ,889343 
日本,太陽不會動,57162 ,679502 
美國,老娘演很大,44520 ,691877 
南韓,孩子別哭,36135 ,405373 
美國,愛情瞎攪禍,16115 ,253526 
日本,小說之神,14870 ,176860 
法國,兩人之間,13035 ,214677 
阿根廷,聲魔入侵,3920 ,75918 
美國,花漾女子,367358 ,7098845 
英國,波麗萊多里鬼屋,239800 ,5230023 
中華民國,尼泊爾布思議,86720 ,281120 
中華民國,揭大歡喜,67851 ,2256534 
南韓,今天決定我愛你,67285 ,3083903 
日本,間諜之妻,56450 ,896032 
美國,終極異噬界,21224 ,2212770 
美國,魔坑,650 ,1039041 
美國,春風化雨,580 ,210829 
美國,尋龍使者：拉雅,5477320 ,55916988 
丹麥,醉好的時光,396831 ,3449572 
日本,淺田家！,324094 ,5366767 
英國,噪反,212361 ,17234820 
中華民國,東經北緯,115055 ,2942888 
日本,Fate/Grand Order-神聖圓桌領域卡美洛-Wandering; Agateram,21750 ,3482211 
美國,鬼故事收藏館,16845 ,2966983 
美國,弒樂園,10050 ,1022900 
中華民國,聽見臺灣,7335 ,499405 
英國,詐欺女王,212232 ,17037612 
日本,銀魂 THE FINAL,188292 ,9515225 
日本,名偵探柯南：緋色的不在場證明,133682 ,19157336 
中華民國,複身犯,40410 ,14565811 
日本,澪之料理帖,26730 ,349790 
德國,100%小狼人,21496 ,5173642 
日本,夏目友人帳 特別上映版:喚石與可疑訪客,20718 ,5373816 
中國大陸,刺殺小說家,10920 ,3793289 
中華民國,伏魔殿,9440 ,317010 
德國,竊聽風暴,3900 ,734719 
日本,晨曦將至,3450 ,456442 
香港,墮落天使  4K數位修復版,25370 ,2563553 
美國,結婚計念日,14150 ,2324806 
日本,超時空甩尾 經典重映,3180 ,1558566 
日本,STAND BY ME 哆啦A夢2,149251 ,41086999 
英國,偷天行動,36580 ,2046935 
新加坡,男兒王,29015 ,3426492 
中華民國,我沒有談的那場戀愛,16890 ,37908772 
匈牙利,銀龍出任務,0 ,3786051 
中華民國,角頭－浪流連,315442 ,161643614 
德國,諾亞方舟大冒險,49165 ,1906125 
俄羅斯,海豚總動員,37935 ,2336128 
美國,幽靈戰場,22400 ,463584 
泰國,騙騙愛上你,5140 ,1860768 
伊朗,無邪,4960 ,761916 
中華民國,緝魂,770 ,50630309 
美國,細物警探,46260 ,10791757 
西班牙,她們玩到掛,700 ,175875 
日本,約定的夢幻島,6080 ,8035721 
日本,喬瑟與虎與魚群動畫版,3580 ,20463021 
日本,《屁屁偵探：咖哩香料事件》 《屁屁偵探：瓢蟲遺跡之謎》,36552 ,11625234 
美國,馬德里金庫盜數90分鐘,57415 ,27259867 
日本,死亡醫生的遺產-BLACK FILE-,15380 ,2431447 
法國,蠢蛋告別式,11565 ,310505 
美國,冰血驚魂,990 ,258285 
日本,一步一步的愛,980 ,166494 
香港,拆彈專家2,94435 ,91495679 
中華民國,杏林醫院,10100 ,29335206 
美國,空中謎航,2310 ,1341044 
美國,靈魂急轉彎,59025 ,184395494 
美國,真愛鄰距離,13510 ,1386681 
中華民國,腿,5220 ,7860920 
美國,神力女超人1984,57975 ,249391137 
美國,求婚好意外,4620 ,6122697 
美國,魔物獵人,8035 ,100803483 
中華民國,親愛的殺手,4660 ,6453724 
美國,古魯家族：新石代,15850 ,17218502 
伊朗,緝毒風暴,6010 ,615130 
日本,鬼滅之刃劇場版 無限列車篇,115603 ,633952884 
中華民國,親愛的房客,9130 ,38721392 
日本,紫羅蘭永恆花園電影版,4938 ,27696660 
加拿大,哈柏太空之旅 3D,435 ,109300 
加拿大,深海獵奇 3D,0 ,180679 
