中文片名,上映日期,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額
刺殺小說家,2021年2月26日,39,"6,078",-16.99%,"1,460,522","13,400","3,229,799"
複身犯,2021年2月26日,97,"23,000",6.61%,"5,425,078","50,102","11,814,476"
伏魔殿,2021年2月26日,7,529,319.84%,"85,050",655,"105,320"
洞兩洞六,2021年2月19日,7,398,-1.73%,"63,540",882,"140,940"
我沒有談的那場戀愛,2021年2月10日,97,"15,641",-46.13%,"3,745,414","151,455","36,227,457"
跟你老婆去旅行,2021年2月10日,80,"3,070",-65.37%,"726,117","54,883","12,957,075"
金不厭詐,2021年2月10日,6,109,-86.08%,"24,715","5,639","1,256,804"
角頭－浪流連,2021年2月5日,94,"47,313",-47.11%,"11,130,292","649,341","153,829,814"
緝魂,2021年1月29日,82,"8,953",-57.90%,"2,179,095","209,414","49,789,268"
聽見臺灣,2021年1月22日,17,499,81.45%,"102,793","1,247","261,803"
哭悲,2021年1月22日,2,11,-87.50%,"2,240","34,217","7,803,750"
叱咤風雲,2021年1月16日,24,"1,158",-58.55%,"269,595","135,473","31,820,234"
少年阿堯,2021年1月8日,1,5,-84.38%,800,"2,087","333,400"
杏林醫院,2020年12月31日,2,129,1190.00%,"12,880","127,131","29,253,591"
腿,2020年12月24日,1,30,0.00%,"4,800","33,592","7,794,390"
親愛的殺手,2020年12月4日,1,93,-16.96%,"8,090","27,992","6,425,894"
同學麥娜絲,2020年11月20日,7,549,-20.43%,"41,895","193,214","44,835,037"
孤味,2020年11月6日,7,495,-44.69%,"38,095","828,041","190,847,485"
親愛的房客,2020年10月23日,5,528,240.65%,"42,280","163,100","38,638,052"
刻在你心底的名字,2020年9月30日,1,28,-76.86%,"1,400","441,536","103,408,970"
消失的情人節,2020年9月18日,4,163,-36.08%,"11,540","139,897","32,282,290"
