中文片名,累計銷售金額,累計銷售票數,週票數變動率,銷售票數
末世戰疫：鳴鳥檔案,"3,350,859","14,221",-25.59%,"6,067"
迷失安狄,"1,682,633","7,021",2.80%,"3,559"
舊愛靈靈妻,"850,174","3,736",-25.75%,"1,592"
妄想代理人：後篇,"757,011","3,263",-0.27%,"1,474"
聖誕殺戮日,"561,581","2,491",-41.64%,918
謎宮,"417,444","1,798",-20.92%,794
破處那件小事,"339,990","1,568",0.51%,786
少年阿堯,"129,830",814,-45.54%,287
少女墮落日記,"32,900",155,18.31%,84
媽呀！我餓了,"1,360",7,-83.33%,1
拆彈專家2,"67,103,681","283,378",-30.31%,"67,799"
杏林醫院,"27,906,540","121,134",-61.27%,"10,403"
妄想代理人：前篇,"1,426,291","5,918",-51.86%,"1,025"
致命天際線,"4,861,581","20,300",-86.97%,604
午夜天鵝,"770,012","3,420",-60.03%,492
空中謎航,"1,179,169","5,183",-77.58%,358
水漾的女人,"343,339","1,702",-70.85%,202
惡靈春夢,"16,660",76,-83.33%,3
廢青四重奏,"8,795",41,-100.00%,0
靈魂急轉彎,"121,460,783","504,463",-9.14%,"114,059"
腿,"7,602,464","32,768",-62.26%,"1,558"
真愛鄰距離,"1,295,971","5,722",-91.71%,17
生為女人,"153,321",772,-85.90%,11
來者弒客,"865,273","3,803",-98.08%,2
85年的夏天,"599,142","2,683",-57.22%,80
順其自然的日子,"372,227","1,551",-26.32%,56
總是有個人在愛你,"183,860",912,-30.00%,7
說唱藝人：希望之聲,"116,844",512,-61.54%,5
高校棋蹟,"291,859","1,282",-96.88%,1
神力女超人1984,"244,186,015","961,547",-49.57%,"24,017"
俘虜,"1,703,011","7,237",35.83%,"3,969"
信用詐欺師JP:公主篇,"5,546,233","23,330",-72.73%,111
新解釋．三國志,"8,001,446","33,236",-77.55%,88
求婚好意外,"6,011,377","25,922",-89.70%,24
再見街貓BOB,"2,541,037","10,687",-47.83%,24
魔物獵人,"100,337,565","421,596",-57.29%,"2,270"
熱血合唱團,"840,415","3,819",302.74%,294
用甜酒漱口,"225,266","1,047",0.00%,26
親愛的殺手,"6,396,984","27,547",-88.68%,12
約會大作戰 赤黑新章：紅或白,"273,253","1,710",-88.89%,1
尋找小魔女Doremi,"14,028,309","59,314",11.68%,153
古魯家族：新石代,"16,957,987","75,010",-51.57%,154
十二夜2：回到第零天,"3,771,737","16,848",27.10%,136
說不出的告別,"1,123,282","5,323",52.45%,218
緝毒風暴,"522,970","2,334",8300.00%,84
Miss,"138,630",627,72.00%,43
同學麥娜絲,"44,684,862","191,407",-58.81%,360
名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,"24,650,778","103,386",-48.84%,176
婊兄弟上路,"313,698","1,508",41.38%,123
消失的星期三,"396,805","1,795",0.00%,106
祕密：夢想的力量,"1,686,782","7,334",0.00%,53
換人殺砍砍,"8,950,102","38,613",0.00%,118
弒膽遊戲,"1,193,754","5,268",56.67%,47
我的媽媽開GAYBAR,"395,803","1,837",-52.46%,29
愛麗絲與夢幻島,"5,085,390","22,262",2.46%,208
孤味,"190,083,296","821,893",-55.08%,"2,771"
GIVEN~被贈與的未來 劇場版,"4,716,732","18,858",-58.62%,12
綠洲：數位經典版,"1,035,575","4,606",-50.00%,8
女巫們,"34,645,617","146,861",94.42%,523
鬼滅之刃劇場版 無限列車篇,"611,821,444","2,528,128",-21.67%,"18,366"
入魔,"2,448,178","11,572",-41.99%,105
親愛的房客,"38,548,907","162,260",-44.06%,193
看不見的目擊者,"3,646,184","16,166",662.50%,122
地下弒的秘密,"384,109","1,973",0.00%,119
奪命守門人,"5,179,090","24,293",-56.82%,19
藥頭大媽,"411,108","2,051",-73.53%,9
無聲,"49,926,570","210,213",1469.23%,408
倒數反擊,"47,214,883","202,329",-27.41%,596
工作細胞!!特別上映版 強『菌』來襲！人體腸道大騷動!,"7,328,877","31,763",-56.46%,91
無價之保,"7,144,252","31,590",-59.75%,159
刻在你心底的名字,"103,250,235","439,552",-54.23%,65
紫羅蘭永恆花園電影版,"27,099,748","108,881",-14.71%,29
阿公當家,"17,125,461","75,669",-44.79%,53
急先鋒,"4,852,351","22,010",192.31%,38
森林特攻隊：大腳丫家族,"5,142,144","25,073",-59.09%,9
電影哆啦A夢：大雄的新恐龍,"37,228,040","158,630",0.00%,90
殺戮荒村,"868,997","3,783",-57.89%,8
消失的情人節,"32,120,990","137,825",-50.00%,49
密弒直播,"3,210,487","14,971",53.85%,80
中央車站:數位修復版,"1,537,750","7,020",-53.85%,24
TENET天能,"349,718,450","1,386,811",-18.64%,768
可不可以，你也剛好喜歡我,"79,237,164","342,072",-88.00%,15
聖雅各的天空,"2,010,689","9,464",-72.09%,24
怪胎,"45,129,701","195,435",-49.12%,29
角落小夥伴電影版：魔法繪本裡的新朋友,"80,291,126","344,965",7.31%,470
1917,"74,548,244","304,215",53.33%,92
密陽,"272,643","1,293",0.00%,1
哈柏太空之旅 3D,"105,545",719,0.00%,0
深海獵奇 3D,"176,929","1,444",13500.00%,135
星際效應,"10,316,550","32,499",0.00%,77
愛是您·愛是我,"724,911","3,060",-77.36%,72
